,Gene Name,Statistic,pvalue_x,pvalue_y
158,CCNJ,2.8657867063896303,0.004159744099869186,0.008519258981779
159,STK32C,-2.8657867063896303,0.004159744099869186,0.0051669002971522
160,E2F5,2.8639797790842145,0.004183547172892567,0.0053583319978619
161,PNPLA5,-2.8639797790842145,0.004183547172892567,0.001718067447502
162,C3orf19,2.8621728517787988,0.004207473746144389,0.0086717922090408
163,CATSPERD,2.8621728517787988,0.004207473746144389,0.0009059106178364
164,SRBD1,2.856752069862551,0.004280000100245029,0.0140638015121016
165,KCNS2,-2.854945142557135,0.004304426317922061,6.01226731969841e-05
166,ZFP1,2.853138215251719,0.004328978868138925,0.0086624483506777
167,KCTD20,2.8513312879463033,0.00435365832371006,0.0007952499619177
168,WDR3,2.8477174333354713,0.004403400252827703,0.0008549676180671
169,C8orf37,2.8477174333354713,0.004403400252827703,0.0019659096649773
170,OGDHL,-2.8477174333354713,0.004403400252827703,0.0312934824361223
171,MRPL19,2.8459105060300556,0.004428463882673967,0.0066157045935979
172,BEGAIN,-2.8459105060300556,0.004428463882673967,0.0127914979976296
173,BROX,2.8459105060300556,0.004428463882673967,0.0098045820596033
174,KIF5B,2.8386827968083916,0.004530016427667868,0.0207928216199257
175,BCAS4,-2.836875869502976,0.004555732004105173,0.001455698889858
176,YOD1,2.836875869502976,0.004555732004105173,0.0022237972302054
177,FAM209A,2.83506894219756,0.004581579737714816,0.0328519873284436
178,RBM8A,2.833262014892144,0.004607560222851261,0.0110907412143018
179,RSPRY1,2.833262014892144,0.004607560222851261,0.0124032926334739
180,COX8A,-2.833262014892144,0.004607560222851261,0.0070341020602114
181,GABRR2,2.8296481602813124,0.004659921836045028,0.0030260308292454
182,DDR2,2.827841232975896,0.004686304163749987,0.0133208253345365
183,RFC1,2.827841232975896,0.004686304163749987,0.0038336871529369
184,ASB11,2.8224204510596484,0.004766264475372774,0.0003208527570605
185,DKFZP564C196,2.8169996691434007,0.004847457561322044,0.0070881044133722
186,C21orf15,-2.8169996691434007,0.004847457561322044,1.89306475926998e-05
187,LRRC73,-2.815192741837985,0.0048747987342315415,0.000433250589453
188,UBXN4,2.813385814532569,0.004902279341852164,0.031720084506922
189,HAO2,2.813385814532569,0.004902279341852164,0.0154127879784134
190,WDR43,2.8097719599217372,0.004957661347110152,0.013234722144098
191,WRN,2.8097719599217372,0.004957661347110152,0.0006227714879674
192,POLR2L,-2.8079650326163215,0.004985563993313488,0.0015707088694414
193,C1QTNF4,-2.8079650326163215,0.004985563993313488,1.93771258116541e-05
194,TTC23,2.8079650326163215,0.004985563993313488,0.0018553554568554
195,MRPS18A,-2.8007373233946575,0.005098600207326948,0.0019379850326855
196,CUL5,2.7917026868675783,0.005243150812125973,0.0057680103431369
197,RFX3,2.7826680503404986,0.005391393616556439,0.0016802390416721
198,RLTPR,-2.775440341118835,0.005512701231447685,6.53122239064182e-06
199,TMEM123,2.773633413813419,0.005543410520281544,0.0284123452596399
200,ICAM3,-2.768212631897171,0.005636466846996297,0.0108633099558653
201,EIF3A,2.7609849226755077,0.00576273367224932,0.0219316755425919
202,ZNF292,2.757371068064676,0.005826818707791204,0.0091230223567908
203,DNAJC10,2.75556414075926,0.005859101546452393,0.0058784230853951
204,RBBP6,2.75556414075926,0.005859101546452393,0.0057243094335825
205,SLC12A5,-2.753757213453844,0.0058915455255182,4.37137067725509e-05
206,LOC641298,2.750143358843012,0.005956919698796243,0.0099899250524561
207,SUSD4,-2.750143358843012,0.005956919698796243,0.003998270747011
208,B4GALT7,-2.7483364315375964,0.005989851296034333,0.0034908579067594
209,MAGEF1,2.7465295042321807,0.006022946839739155,0.0112632931419539
210,TMEM184C,2.7465295042321807,0.006022946839739155,0.0212242584120501
211,GOLGA5,2.7447225769267645,0.0060562070375065865,0.0118221947711263
212,C9orf16,-2.741108722315933,0.006123224237830438,0.003394143429176
213,RNF146,2.741108722315933,0.006123224237830438,0.0044226462274325
214,DBNL,-2.741108722315933,0.006123224237830438,0.0113456104763627
215,ZFP91,2.7393017950105167,0.006156982667811877,0.0102124211010327
216,PTPN13,2.7393017950105167,0.006156982667811877,0.0235035413388074
217,PMS1,2.7393017950105167,0.006156982667811877,0.0028757272063528
218,GOSR1,2.735687940399685,0.006225002774403594,0.0289553949850384
219,ZNF23,2.735687940399685,0.006225002774403594,0.0206555713309066
220,CDV3,2.733881013094269,0.006259265893202453,0.0406062922570913
221,NPAT,2.733881013094269,0.006259265893202453,0.0023303218195721
222,ESF1,2.733881013094269,0.006259265893202453,0.0380500430232166
223,NPBWR2,-2.7320740857888532,0.006293698687914683,0.0176681972994963
224,PRKAR1B,-2.7302671584834375,0.0063283018858208,0.0002427922280666
225,ENTPD6,-2.7284602311780213,0.006363076216685065,0.0006665780918587
226,RND1,-2.7266533038726055,0.0063980224127605624,0.0028796965534115
227,LTV1,2.7248463765671898,0.006433141208794349,0.0082022747982673
228,DHX36,2.7230394492617735,0.006468433342032596,0.0291479813637322
229,TMOD4,2.7230394492617735,0.006468433342032596,0.0171072933609744
230,IVNS1ABP,2.719425594650942,0.00653954058163294,0.0116587156311313
